frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,904.000,507.000,308.676,133.570,0.000,0.000
1,0.033333,904.056,506.967,308.699,133.548,0.032,0.032
2,0.066667,903.967,506.867,308.666,133.495,0.076,0.095
3,0.100000,903.802,506.738,308.603,133.427,0.160,0.187
4,0.133333,903.701,506.648,308.565,133.379,0.221,0.248
5,0.166667,903.592,506.525,308.525,133.313,0.298,0.326
6,0.200000,903.588,506.393,308.526,133.236,0.366,0.402
7,0.233333,903.652,506.309,308.553,133.185,0.404,0.460
8,0.266667,903.735,506.290,308.587,133.170,0.409,0.497
9,0.300000,903.775,506.317,308.602,133.184,0.393,0.518
10,0.333333,903.786,506.407,308.605,133.236,0.341,0.570
11,0.366667,903.783,506.468,308.602,133.271,0.308,0.605
12,0.400000,903.829,506.524,308.619,133.302,0.274,0.640
13,0.433333,903.840,506.571,308.622,133.329,0.247,0.667
14,0.466667,903.808,506.601,308.609,133.347,0.233,0.690
15,0.500000,903.787,506.544,308.602,133.315,0.265,0.723
16,0.533333,903.826,506.545,308.617,133.314,0.262,0.738
17,0.566667,903.852,506.575,308.627,133.330,0.245,0.757
18,0.600000,903.931,506.590,308.658,133.335,0.235,0.788
19,0.633333,903.938,506.572,308.661,133.325,0.246,0.799
20,0.666667,903.924,506.511,308.657,133.290,0.280,0.834
21,0.700000,903.934,506.497,308.661,133.282,0.289,0.843
22,0.733333,904.031,506.568,308.698,133.318,0.252,0.896
23,0.766667,904.146,506.654,308.742,133.363,0.217,0.958
24,0.800000,904.176,506.671,308.753,133.372,0.213,0.972
25,0.833333,904.127,506.659,308.734,133.367,0.211,0.992
26,0.866667,904.007,506.636,308.687,133.359,0.211,1.040
27,0.900000,903.969,506.594,308.673,133.336,0.234,1.067
28,0.933333,903.995,506.614,308.683,133.346,0.224,1.081
29,0.966667,904.132,506.681,308.735,133.380,0.199,1.143
30,1.000000,904.225,506.735,308.771,133.407,0.189,1.188
31,1.033333,904.241,506.728,308.777,133.402,0.196,1.196
32,1.066667,904.151,506.715,308.742,133.398,0.184,1.232
33,1.100000,904.102,506.701,308.723,133.392,0.184,1.252
34,1.133333,904.135,506.708,308.736,133.395,0.185,1.265
35,1.166667,904.165,506.738,308.747,133.411,0.174,1.285
36,1.200000,904.138,506.744,308.737,133.415,0.166,1.296
37,1.233333,904.085,506.717,308.716,133.402,0.172,1.321
38,1.266667,904.043,506.720,308.699,133.406,0.165,1.338
39,1.300000,903.996,506.719,308.681,133.408,0.162,1.357
40,1.333333,903.990,506.727,308.678,133.413,0.157,1.362
41,1.366667,903.978,506.740,308.673,133.420,0.150,1.371
42,1.400000,903.924,506.728,308.652,133.415,0.156,1.393
43,1.433333,903.883,506.687,308.636,133.394,0.180,1.420
44,1.466667,903.858,506.698,308.626,133.401,0.175,1.432
45,1.500000,903.876,506.708,308.633,133.406,0.169,1.440
46,1.533333,903.870,506.705,308.631,133.405,0.171,1.443
47,1.566667,903.861,506.688,308.628,133.395,0.181,1.453
48,1.600000,903.837,506.683,308.618,133.393,0.186,1.463
49,1.633333,903.866,506.653,308.631,133.375,0.200,1.485
50,1.666667,903.907,506.665,308.647,133.380,0.192,1.502
51,1.700000,903.923,506.674,308.653,133.384,0.187,1.509
52,1.733333,903.923,506.668,308.653,133.381,0.190,1.512
53,1.766667,903.909,506.645,308.648,133.368,0.203,1.526
54,1.800000,903.918,506.666,308.651,133.380,0.192,1.538
55,1.833333,903.928,506.655,308.655,133.373,0.198,1.546
56,1.866667,903.965,506.652,308.670,133.370,0.200,1.561
57,1.900000,903.974,506.662,308.673,133.375,0.195,1.567
58,1.933333,903.944,506.659,308.661,133.375,0.195,1.579
59,1.966667,903.939,506.631,308.660,133.359,0.212,1.595
60,2.000000,903.976,506.620,308.675,133.351,0.219,1.612
61,2.033333,903.976,506.633,308.675,133.358,0.211,1.620
62,2.066667,903.954,506.617,308.666,133.350,0.220,1.631
63,2.100000,903.927,506.588,308.656,133.334,0.236,1.650
64,2.133333,903.911,506.552,308.651,133.314,0.257,1.671
65,2.166667,903.902,506.542,308.647,133.309,0.262,1.677
66,2.200000,903.935,506.558,308.660,133.317,0.254,1.692
67,2.233333,903.960,506.593,308.669,133.336,0.234,1.713
68,2.266667,903.967,506.605,308.672,133.342,0.227,1.720
69,2.300000,903.928,506.602,308.657,133.343,0.228,1.735
70,2.333333,903.911,506.608,308.649,133.347,0.225,1.743
71,2.366667,903.913,506.609,308.650,133.347,0.224,1.744
72,2.400000,903.912,506.607,308.650,133.346,0.225,1.745
73,2.433333,903.926,506.607,308.655,133.346,0.225,1.751
74,2.466667,903.945,506.625,308.663,133.355,0.215,1.763
75,2.500000,903.979,506.632,308.676,133.358,0.212,1.776
76,2.533333,904.032,506.643,308.697,133.362,0.209,1.797
77,2.566667,904.090,506.648,308.720,133.362,0.212,1.820
78,2.600000,904.106,506.629,308.726,133.351,0.225,1.834
79,2.633333,904.059,506.585,308.709,133.327,0.245,1.863
80,2.666667,903.990,506.546,308.682,133.307,0.263,1.896
81,2.700000,903.946,506.544,308.665,133.308,0.262,1.913
82,2.733333,903.925,506.567,308.656,133.322,0.248,1.930
83,2.766667,903.908,506.585,308.649,133.334,0.238,1.944
84,2.800000,903.897,506.587,308.644,133.335,0.237,1.949
85,2.833333,903.899,506.632,308.644,133.361,0.211,1.974
86,2.866667,903.909,506.687,308.647,133.392,0.180,2.006
87,2.900000,903.949,506.725,308.662,133.413,0.157,2.031
88,2.933333,904.002,506.780,308.682,133.442,0.128,2.067
89,2.966667,904.054,506.832,308.701,133.470,0.103,2.101
90,3.000000,904.055,506.835,308.701,133.472,0.101,2.102
91,3.033333,904.028,506.798,308.692,133.452,0.119,2.125
92,3.066667,904.017,506.298,308.699,133.163,0.408,2.414
93,3.100000,904.236,504.565,308.825,132.149,1.429,3.435
94,3.133333,904.551,501.388,309.023,130.289,3.299,5.306
95,3.166667,904.957,497.139,309.283,127.794,5.807,7.814
96,3.200000,905.443,492.318,309.589,124.951,8.668,10.674
97,3.233333,906.041,487.409,309.944,122.038,11.602,13.609
98,3.266667,906.493,482.919,310.231,119.366,14.289,16.296
99,3.300000,906.816,478.812,310.459,116.915,16.750,18.758
100,3.333333,906.936,474.609,310.608,114.405,19.262,21.272
101,3.366667,906.925,470.158,310.712,111.740,21.924,23.938
102,3.400000,906.776,465.372,310.767,108.867,24.791,26.813
103,3.433333,906.564,460.105,310.810,105.690,27.962,29.990
104,3.466667,906.167,454.425,310.788,102.249,31.391,33.430
105,3.500000,905.547,448.452,310.682,98.616,35.011,37.065
106,3.533333,904.665,442.139,310.476,94.757,38.854,40.929
107,3.566667,903.550,435.745,310.175,90.828,42.768,44.870
108,3.600000,902.101,429.572,309.729,87.017,46.565,48.707
109,3.633333,900.376,423.712,309.157,83.384,50.188,52.385
110,3.666667,898.503,418.110,308.514,79.892,53.678,55.935
111,3.700000,896.597,412.623,307.850,76.450,57.126,59.442
112,3.733333,894.579,407.241,307.131,73.053,60.537,62.914
113,3.766667,892.458,402.132,306.358,69.811,63.801,66.247
114,3.800000,889.947,395.007,305.460,65.243,68.403,70.902
115,3.833333,887.180,387.997,304.442,60.713,72.980,75.545
116,3.866667,883.953,380.813,303.221,56.034,77.728,80.381
117,3.900000,880.115,373.102,301.736,50.966,82.895,85.662
118,3.933333,875.633,364.566,299.972,45.294,88.704,91.601
119,3.966667,870.749,357.459,297.982,40.535,93.647,96.760
120,4.000000,865.156,349.731,295.668,35.302,99.125,102.482
121,4.033333,858.931,341.499,293.052,29.659,105.079,108.702
